                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8003,                 3.9388,                  4.213,                0.00196,                0.21818,                0.00259,                0.00072,                 3.7456,                 4.1032,                 4.1452,                0.00058,                0.00058,                0.00058
                      2,                 3.4532,                 3.5649,                 3.8832,                0.00182,                    0.2,                0.00175,                0.00049,                 3.8812,                  4.068,                 4.2508,              0.0011683,              0.0011683,              0.0011683
                      3,                 3.2069,                 3.4211,                 3.4563,                0.00234,                0.15758,                0.00178,                0.00058,                  3.989,                 4.1031,                 4.3619,              0.0017448,              0.0017448,              0.0017448
                      4,                 3.0321,                 3.2379,                  3.177,                0.00984,                0.03636,                0.00385,                0.00142,                 3.1522,                 6.6549,                 3.6902,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.9822,                 3.1707,                  3.059,                0.03413,                    0.2,                0.02037,                0.00619,                 2.8657,                 4.7792,                 3.0951,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.7836,                 3.0398,                 2.9383,                0.06304,                0.09091,                0.02819,                0.00923,                 2.7699,                 9.7632,                 3.1202,               0.001901,               0.001901,               0.001901
                      7,                  2.705,                 2.8914,                 2.8414,                0.07955,                0.06061,                0.03258,                0.01463,                 2.6477,                 4.1048,                 2.8771,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.6375,                 2.8674,                 2.7326,                0.09071,                0.12424,                 0.0501,                0.01716,                 2.5824,                 3.9249,                 2.7589,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.5802,                 2.7991,                 2.7147,                0.24005,                 0.1303,                0.10109,                0.03579,                 2.4233,                 4.1785,                 2.6192,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.4864,                 2.7035,                 2.6216,                0.11445,                0.14545,                0.06303,                0.02059,                 2.5639,                 4.0059,                 2.7635,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.3883,                 2.8215,                 2.5219,                0.21928,                0.23939,                0.12541,                0.04284,                 2.4513,                 2.8599,                 2.6324,               0.001802,               0.001802,               0.001802
                     12,                 2.3847,                 2.5784,                 2.5599,                0.21921,                0.17273,                0.12288,                0.04764,                 2.3013,                 2.7729,                  2.493,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.3547,                 2.5306,                 2.5172,                0.33532,                0.21212,                0.19057,                0.06696,                 2.3606,                 2.6046,                 2.5651,              0.0017624,              0.0017624,              0.0017624
                     14,                  2.323,                 2.4218,                 2.4466,                0.29238,                0.29394,                0.19602,                0.07244,                 2.3371,                 2.7577,                 2.5185,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.2216,                 2.3394,                 2.3885,                0.36341,                0.35152,                0.24803,                0.10273,                 2.2259,                 3.4045,                 2.3862,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.2126,                  2.267,                 2.3575,                0.29539,                0.30235,                0.23656,                0.09667,                 2.1763,                 2.5192,                 2.3587,               0.001703,               0.001703,               0.001703
                     17,                 2.1991,                 2.3337,                 2.3642,                0.30993,                0.28182,                 0.2053,                0.08443,                 2.1653,                 3.5529,                 2.3911,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.1388,                 2.2622,                 2.3086,                0.38708,                 0.3062,                0.27611,                 0.1184,                 2.1078,                 2.4283,                 2.2924,              0.0016634,              0.0016634,              0.0016634
                     19,                  2.166,                 2.2503,                 2.2998,                0.38246,                0.31515,                0.27983,                0.11778,                 2.0391,                 2.5775,                 2.2438,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.0917,                  2.161,                 2.2559,                0.41044,                0.36286,                0.34497,                0.15276,                 2.0093,                 2.4373,                 2.2275,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.0926,                 2.1335,                 2.2474,                0.40514,                0.38181,                0.36312,                0.15784,                 2.0106,                 2.1028,                 2.2187,               0.001604,               0.001604,               0.001604
                     22,                 1.9999,                 2.0385,                  2.179,                0.42592,                0.37273,                 0.3549,                0.15348,                 1.9957,                 2.3634,                 2.1901,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.0097,                 2.0836,                 2.1924,                0.38802,                0.35455,                0.29379,                0.12674,                  1.996,                 2.1765,                 2.1899,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.9834,                 1.9871,                 2.1737,                0.42136,                0.36667,                0.33675,                0.14527,                 1.9748,                 2.2825,                 2.1855,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.9338,                 1.9427,                 2.1054,                0.46473,                0.40303,                0.40986,                0.17689,                 1.9752,                 2.0583,                 2.1874,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.9487,                 1.9762,                 2.1208,                0.53047,                 0.4303,                 0.4604,                0.21209,                 1.8854,                 1.9331,                 2.1141,               0.001505,               0.001505,               0.001505
                     27,                  1.886,                 1.9275,                 2.0711,                0.50077,                0.38788,                0.42653,                0.19829,                 1.8949,                 1.9962,                 2.0799,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.9409,                 2.0239,                 2.1567,                0.53914,                0.37931,                0.42752,                0.21393,                 1.8182,                 2.0578,                 2.0377,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.8787,                 1.8301,                 2.0503,                0.52654,                0.40606,                0.43748,                0.19545,                 1.9131,                 1.9687,                 2.1128,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.8868,                 1.8956,                 2.0405,                0.60895,                0.35455,                0.44378,                0.21269,                 1.9203,                 2.0084,                 2.0988,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.8348,                 1.8354,                 2.0173,                0.51486,                0.35055,                0.39805,                0.18388,                 1.8267,                 2.0107,                 2.0139,               0.001406,               0.001406,               0.001406
                     32,                 1.7804,                 1.7222,                 1.9534,                0.57893,                0.45831,                0.48707,                0.22849,                 1.8086,                 1.8402,                 2.0183,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.7857,                 1.7588,                 1.9486,                0.62386,                0.38788,                0.48336,                0.23763,                 1.7755,                 1.8347,                 2.0055,              0.0013664,              0.0013664,              0.0013664
                     34,                  1.812,                 1.7241,                 1.9741,                0.63261,                0.36364,                0.46983,                  0.233,                 1.8277,                 2.1793,                 2.0458,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.7956,                 1.8016,                 2.0125,                0.65659,                0.44612,                0.53084,                 0.2358,                 1.7847,                 1.8021,                  1.992,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.8034,                 1.7496,                 1.9523,                 0.5901,                0.46242,                0.50922,                0.23457,                  1.835,                 1.8198,                 2.0065,               0.001307,               0.001307,               0.001307
                     37,                 1.8203,                 1.7192,                 1.9572,                0.63385,                0.41515,                0.49294,                0.23988,                 1.8192,                 1.9249,                 2.0234,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.7186,                 1.6427,                 1.9164,                0.50911,                0.45758,                0.43812,                0.20759,                 1.8558,                 1.8793,                 2.0511,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.7882,                 1.7456,                 1.9925,                0.57672,                0.41818,                0.48301,                0.24227,                 1.6967,                 1.9062,                 1.9432,              0.0012476,              0.0012476,              0.0012476
                     40,                  1.758,                   1.78,                 1.9227,                0.64491,                0.46061,                0.52264,                0.26147,                 1.7002,                 1.7919,                 1.9355,              0.0012278,              0.0012278,              0.0012278
